Equity,DrawdownPct,DrawdownDuration
97505.74198,0.024942580199999953,
95510.44198,0.04489558019999995,
103757.68198000001,0.0,5 days
95377.42198000001,0.08076761007069666,
96973.66198,0.06538330339056408,
83738.17198000001,0.19294484627999775,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,
83654.43589000001,0.19375188136792643,59 days
