ticker,category,snapshots,persistence_pct
DSGN,New High,15,4.716981132075472
DTCK,Top Losers,6,1.8867924528301887
DTCX,Top Losers,17,5.345911949685535
DXR,Insider Buying,19,5.9748427672955975
ECAT,Insider Selling,1,0.3144654088050315
ECML,Unusual Volume,25,7.861635220125786
EDBL,New Low,1,0.3144654088050315
EDBL,Top Losers,6,1.8867924528301887
EEIQ,Top Gainers,32,10.062893081761008
EEIQ,Top Losers,5,1.5723270440251573
EEIQ,Unusual Volume,26,8.176100628930817
EHAB,Overbought,2,0.628930817610063
ELAB,New Low,25,7.861635220125786
ELAB,Top Gainers,46,14.465408805031446
ELAB,Top Losers,62,19.49685534591195
ELAB,Unusual Volume,2,0.628930817610063
ELPW,Top Gainers,1,0.3144654088050315
ELVN,New High,62,19.49685534591195
ENR,Insider Buying,19,5.9748427672955975
ENTG,Insider Selling,2,0.628930817610063
EOG,Insider Selling,1,0.3144654088050315
EOG,Overbought,10,3.1446540880503147
EPR,Insider Selling,1,0.3144654088050315
EPSN,Insider Selling,1,0.3144654088050315
ERAS,New High,25,7.861635220125786
ESTA,Insider Selling,1,0.3144654088050315
EXFY,Insider Selling,2,0.628930817610063
EXOD,Insider Selling,1,0.3144654088050315
FATN,Insider Buying,3,0.9433962264150944
FBLG,New Low,17,5.345911949685535
FBLG,Top Losers,20,6.289308176100629
FC,Top Gainers,7,2.20125786163522
FCF,Insider Selling,1,0.3144654088050315
FCHL,New Low,1,0.3144654088050315
FCHL,Top Gainers,26,8.176100628930817
FCHL,Top Losers,50,15.723270440251572
FCHL,Unusual Volume,10,3.1446540880503147
FCUV,Top Gainers,26,8.176100628930817
FCUV,Top Losers,30,9.433962264150944
FCUV,Unusual Volume,26,8.176100628930817
FEED,Top Gainers,26,8.176100628930817
FGI,Unusual Volume,25,7.861635220125786
FGL,New Low,44,13.836477987421384
FGL,Top Losers,1,0.3144654088050315
FIBK,Insider Selling,2,0.628930817610063
FLYX,Insider Buying,1,0.3144654088050315
FMBH,Insider Selling,1,0.3144654088050315
FMX,Insider Selling,3,0.9433962264150944
FNWD,Insider Buying,2,0.628930817610063
FRGT,Top Losers,1,0.3144654088050315
FRMI,New Low,2,0.628930817610063
FRWD,Unusual Volume,1,0.3144654088050315
FSLY,Top Losers,10,3.1446540880503147
FTI,Insider Selling,4,1.257861635220126
FUSE,Top Gainers,13,4.088050314465408
GAME,Most Active,24,7.547169811320755
GAME,Top Gainers,22,6.918238993710692
GAME,Unusual Volume,25,7.861635220125786
GCTK,New Low,6,1.8867924528301887
GCTK,Top Gainers,3,0.9433962264150944
GFS,Insider Selling,9,2.8301886792452833
GKOS,Insider Selling,2,0.628930817610063
GLBE,Insider Selling,2,0.628930817610063
GLMD,Most Active,1,0.3144654088050315
GLMD,Top Gainers,7,2.20125786163522
GLMD,Unusual Volume,25,7.861635220125786
GLND,Top Gainers,32,10.062893081761008
GLND,Top Losers,12,3.7735849056603774
GLNG,New High,1,0.3144654088050315
GLXG,Top Gainers,1,0.3144654088050315
GMTL,New High,6,1.8867924528301887
GOLD,Insider Selling,1,0.3144654088050315
GPOR,Insider Selling,3,0.9433962264150944
GPUS,Most Active,6,1.8867924528301887
GPUS,Top Gainers,2,0.628930817610063
GRCE,Top Losers,9,2.8301886792452833
GRNQ,New High,24,7.547169811320755
GRNQ,Top Losers,1,0.3144654088050315
GSAT,New High,4,1.257861635220126
GTE,New High,23,7.232704402515723
GURE,Top Losers,1,0.3144654088050315
GV,Most Active,24,7.547169811320755
GV,New Low,2,0.628930817610063
GV,Oversold,1,0.3144654088050315
GV,Top Gainers,24,7.547169811320755
