symbol,date,open,high,low,close,volume
AFJK,2026-03-25,26.22,26.22,26.22,26.22,0.0
AFJK,2026-03-26,26.22,26.22,26.22,26.22,0.0
AFJK,2026-03-27,26.11,28.7,24.37,24.37,1406.0
AFJK,2026-03-30,24.37,24.37,24.37,24.37,0.0
AFJK,2026-03-31,24.46,26.08,24.46,24.5,700.0
AFJK,2026-04-01,25.75,25.89,25.42,25.42,600.0
AFJK,2026-04-02,25.42,25.42,25.42,25.42,0.0
AFJK,2026-04-06,25.42,25.42,25.42,25.42,0.0
AFJK,2026-04-07,25.91,26.5,25.45,26.5,465.0
AFJK,2026-04-08,28.99,31.0,27.2,28.0,1016.0
AFJK,2026-04-09,29.21,85.0,29.21,67.86,173895.0
AFJK,2026-04-10,63.3,72.27,51.0,56.0,24236.0
AFJK,2026-04-13,52.1,52.1,38.96,40.4,5986.0
AFJK,2026-04-14,41.79,74.88,41.49,51.8,50398.0
AFJK,2026-04-15,55.59,64.0,49.6,51.2,20030.0
AFJK,2026-04-16,50.43,52.31,47.86,48.66,2508.0
KOD,2026-02-11,22.96,23.13,21.8675,22.91,200958.0
KOD,2026-02-12,23.13,23.2727,21.2016,22.0,171372.0
KOD,2026-02-13,22.54,23.0037,21.7,22.07,142432.0
KOD,2026-02-17,21.85,23.13,21.5101,22.66,143433.0
KOD,2026-02-18,22.57,24.75,22.255,24.58,1033706.0
KOD,2026-02-19,24.01,27.99,23.7,26.665,888792.0
KOD,2026-02-20,26.16,26.83,24.97,25.28,281736.0
KOD,2026-02-23,25.5,26.89,24.86,26.68,346414.0
KOD,2026-02-24,26.72,28.775,26.55,27.98,304001.0
KOD,2026-02-25,28.1,28.85,27.5,27.62,220292.0
KOD,2026-02-26,27.53,28.285,26.27,27.98,270671.0
KOD,2026-02-27,26.86,27.19,26.005,26.8,249912.0
KOD,2026-03-02,26.15,27.92,25.15,27.36,248510.0
KOD,2026-03-03,25.82,26.9,25.16,26.44,238713.0
KOD,2026-03-04,26.59,27.555,26.19,26.84,195216.0
KOD,2026-03-05,26.53,26.635,24.96,25.16,171483.0
KOD,2026-03-06,24.22,25.22,23.35,24.86,294632.0
KOD,2026-03-09,24.24,25.94,24.105,25.72,320826.0
KOD,2026-03-10,26.33,27.34,24.585,25.11,183124.0
KOD,2026-03-11,24.8,25.485,24.095,24.54,182513.0
KOD,2026-03-12,23.66,24.38,22.8,23.79,337345.0
KOD,2026-03-13,24.08,24.53,22.62,23.19,167428.0
KOD,2026-03-16,23.66,24.21,23.19,23.31,171675.0
KOD,2026-03-17,23.17,24.27,23.0,23.85,482422.0
KOD,2026-03-18,23.63,24.34,22.06,22.08,158551.0
KOD,2026-03-19,21.82,22.83,21.31,22.665,376001.0
KOD,2026-03-20,22.59,23.635,22.23,22.25,374269.0
KOD,2026-03-23,22.75,23.75,21.9,22.24,228755.0
KOD,2026-03-24,21.84,22.14,21.0,21.85,175600.0
KOD,2026-03-25,21.86,23.62,21.42,22.75,462242.0
KOD,2026-03-26,35.47,40.4637,33.5,39.76,8457259.0
KOD,2026-03-27,41.89,45.6,36.91,37.0,3983766.0
KOD,2026-03-30,37.54,37.6,33.35,33.66,1514087.0
KOD,2026-03-31,34.77,39.56,33.5101,38.12,1783752.0
KOD,2026-04-01,39.78,44.3,38.2201,42.81,1865227.0
KOD,2026-04-02,41.57,42.4899,38.68,40.63,1028685.0
KOD,2026-04-06,40.18,41.93,38.8,39.0,500095.0
KOD,2026-04-07,38.37,42.95,38.37,41.79,742109.0
KOD,2026-04-08,43.0,43.99,40.92,41.8,487521.0
KOD,2026-04-09,41.3,42.88,40.5001,42.36,310428.0
KOD,2026-04-10,42.64,43.95,41.7419,43.11,482918.0
KOD,2026-04-13,42.93,46.6699,41.6,41.95,655682.0
KOD,2026-04-14,42.42,45.39,42.33,45.07,847293.0
KOD,2026-04-15,45.05,45.5,41.6248,41.98,377816.0
KOD,2026-04-16,41.32,41.495,39.37,40.45,298766.0
GVH,2026-02-11,0.9438,0.9701,0.8917,0.9027,54408.0
GVH,2026-02-12,0.9201,0.9573,0.8785,0.9028,47285.0
GVH,2026-02-13,0.8821,0.9525,0.8801,0.9203,22625.0
GVH,2026-02-17,1.46,1.79,1.06,1.3,49338085.0
GVH,2026-02-18,1.28,1.35,1.07,1.19,952664.0
GVH,2026-02-19,1.17,1.2899,1.1002,1.15,317015.0
GVH,2026-02-20,1.13,1.1495,1.0,1.06,229265.0
GVH,2026-02-23,1.05,1.26,1.03,1.13,296140.0
GVH,2026-02-24,1.2453,1.3,1.18,1.23,175000.0
GVH,2026-02-25,1.24,1.291,1.16,1.27,101489.0
GVH,2026-02-26,1.25,1.27,1.16,1.18,52701.0
GVH,2026-02-27,1.16,1.2499,1.14,1.19,55825.0
GVH,2026-03-02,1.17,1.29,1.1482,1.28,91876.0
GVH,2026-03-03,1.25,1.27,1.15,1.21,65049.0
GVH,2026-03-04,1.19,1.2434,1.181,1.22,32110.0
GVH,2026-03-05,1.18,1.2195,1.15,1.2,18325.0
GVH,2026-03-06,1.2,1.24,1.18,1.2,22583.0
GVH,2026-03-09,1.19,1.2184,1.13,1.19,33798.0
