symbol,scan_date,catalyst_type,catalyst_strength,gap_percentage,volume_ratio,quality_score,intraday_return,overnight_return,max_return_3d,close_price,volume,float_shares,short_ratio,short_percent,is_runner
DVLT,2025-10-23,BREAKTHROUGH,10,0.056448598130841125,0.88942,51.990893541645036,0.03211006013725692,0.04444440205891927,0.8222221798366971,2.25,32609100.0,229793752.0,0.47,0.1087,True
DVLT,2025-10-24,OTHER,3,0.1111111111111111,0.98181,23.92900911435185,0.4553192404612781,0.011695895017748939,0.1988303547277985,3.4200000762939453,197869900.0,229793752.0,0.47,0.1087,False
DVLT,2025-10-27,TECHNICAL,0,0.04093567251461992,2.0000090225835265,88.50014436133642,-0.05202314010771007,0.10060973371479337,0.15548780332676787,3.2799999713897705,106819900.0,229793752.0,0.47,0.1087,False
DVLT,2025-10-28,TECHNICAL,0,0.10652439024390249,1.30269,81.85575,-0.10526312661077017,-0.04643965773426175,-0.04643965773426175,3.2300000190734863,82710500.0,229793752.0,0.47,0.1087,False
DVLT,2025-10-29,TECHNICAL,0,-0.08560371517027862,1.20776,81.06466666666667,-0.1331168368727656,-0.007490629346450939,0.022471888039352815,2.6700000762939453,66310300.0,229793752.0,0.47,0.1087,False
DVLT,2025-10-30,TECHNICAL,0,-0.036816479400749086,1.40375,82.69791666666666,-0.049056645193400646,0.007936500427734288,0.01984125106933572,2.5199999809265137,41342500.0,229793752.0,0.47,0.1087,False
DVLT,2025-10-31,OTHER,1,-0.04761904761904766,0.63641,15.120105048991404,-0.20078740083570407,0.16256154106255058,0.16256154106255058,2.0299999713897705,117152900.0,229793752.0,0.47,0.1087,False
DVLT,2025-11-03,OTHER,2,0.08128078817734015,0.6038,18.591260886957787,-0.22033893425071957,-0.06521739271277513,0.05434783805858864,1.840000033378601,65627300.0,229793752.0,0.47,0.1087,False
DVLT,2025-11-04,CONTRACT,6,-0.06793478260869565,1.99787,41.552594425830314,0.03488368708227368,0.07865167862085833,0.08988769011370558,1.7799999713897705,33173400.0,229793752.0,0.47,0.1087,False
DVLT,2025-11-06,FDA,7,-0.14375,2.0000064648345326,45.645312468501366,-0.13375798161215752,-0.08088236260888476,0.3823529231300818,1.3600000143051147,39226000.0,229793752.0,0.47,0.1087,True
DVLT,2025-11-10,OTHER,1,0.15384615384615385,0.72958,14.87210150723825,-0.12365592328202912,-0.018404890477013415,0.03680985408856051,1.6299999952316284,50184300.0,229793752.0,0.47,0.1087,False
DVLT,2025-11-14,FDA,7,0.06474025974025967,0.60853,42.85214406634199,0.25342465417875903,-0.060109296024865366,0.19672131467909934,1.8300000429153442,49866600.0,229793752.0,0.47,0.1087,False
DVLT,2025-11-17,CONTRACT,10,-0.0355191256830602,0.95535,69.65384126044513,0.08720928701340952,-0.04278077150339552,0.04278077150339552,1.8700000047683716,73658000.0,229793752.0,0.47,0.1087,False
DVLT,2025-11-21,TECHNICAL,0,0.17235632183908037,1.22305,86.19208333333334,0.4739883954925935,0.0627451328716116,0.07843139271514356,2.549999952316284,139833800.0,229793752.0,0.47,0.1087,False
ECX,2025-11-05,TECHNICAL,0,0.0540540540540539,1.6146,82.3336,0.05752217477411158,-0.01673648473467754,0.10878660211342599,2.390000104904175,17011500.0,120027960.0,0.5,0.0271,False
ECX,2025-11-07,EARNINGS,4,-0.15530303030303036,1.2111,27.433136333480647,-0.06048390895717445,0.0,0.07296140852380216,2.3299999237060547,17083200.0,120027960.0,0.5,0.0271,False
ECX,2025-11-13,CONTRACT,6,0.04185022026431726,0.52521,37.27969618401095,-0.00829874697685747,-0.020920580979166107,-0.020920580979166107,2.390000104904175,17884300.0,120027960.0,0.5,0.0271,False
EDSA,2025-10-28,OTHER,3,-0.09866920152091258,1.31188,26.090784029563174,-0.056768505758901966,-0.055555610745039265,0.009259250061011975,2.1600000858306885,16181000.0,3526565.0,0.08,0.009,False
ELBM,2025-10-22,OTHER,2,-0.030242424242424144,0.92258,19.38914482833544,0.10666664441426595,0.1084337773352831,0.15060241266680593,1.659999966621399,15440500.0,74425434.0,0.09,0.0105,False
ELBM,2025-10-23,BREAKTHROUGH,6,-0.05722891566265059,1.70844,40.0968054666848,-0.06521739271277513,-0.04651165208409023,-0.04069770423704462,1.7200000286102295,22352900.0,74425434.0,0.09,0.0105,False
ELBM,2025-10-27,FDA,6,-0.10804054054054049,0.50199,32.76457111201827,-0.01960782480441495,-0.039999961853027344,0.013333320617675781,1.5,9032500.0,74425434.0,0.09,0.0105,False
ELBM,2025-11-05,OTHER,2,0.04994903160040779,0.50474,16.15515619551903,-0.027777860562003345,-0.028571402621105857,0.0952381222696814,1.0499999523162842,6484900.0,74425434.0,0.09,0.0105,False
ELDN,2025-11-07,TECHNICAL,0,-0.5048780487804878,2.000008542189876,88.50013667503802,0.029999971389770508,0.0,0.16504862234565465,2.059999942779541,29781200.0,54151151.0,1.44,0.0728,False
ENGN,2025-11-11,TECHNICAL,0,0.4858569051580699,1.55362,86.35792,0.031578888662708825,0.09863944622011929,0.11111117118130193,8.819999694824219,51454300.0,108901572.0,,0.0,False
ENVX,2025-11-06,TECHNICAL,0,-0.22084805653710246,1.54322,81.19152000000001,-0.09519036601601485,-0.029900278191981298,0.09557031468401854,9.029999732971191,27665000.0,186685627.0,6.6,0.33220002,False
EPSM,2025-11-18,TECHNICAL,0,0.6690845070422535,2.0,93.5,0.9710145202962023,-0.011029401130226768,0.8897058133899554,2.7200000286102295,30425200.0,2076042.0,0.08,0.0073,True
EPSM,2025-11-20,TECHNICAL,0,0.995272727272727,1.61436,87.32976000000001,0.7023255458066388,0.08743167369903745,0.40437151528618076,3.6600000858306885,24601500.0,2076042.0,0.08,0.0073,True
EPWK,2025-11-19,OTHER,3,0.3631159420289856,0.54694,22.586721562374194,-0.028089861303337953,-0.15606935141602718,0.05202314010771007,1.7300000190734863,42240600.0,558429.0,0.04,0.1031,False
ERNA,2025-10-29,FDA,9,0.49583999999999995,2.0,54.2430424357639,-0.18894012507635988,-0.005681812794001605,0.09090907243657693,1.7599999904632568,215172400.0,3335385.0,0.02,0.0255,False
ESPR,2025-11-06,EARNINGS,6,-0.12414965986394551,0.5016,32.460692125755855,-0.09420289542088611,0.0,0.2479999542236328,2.5,11799500.0,235435832.0,4.16,0.10569999,True
ESPR,2025-11-21,FDA,7,0.06142372881355933,0.56437,41.62201888509102,0.04406775387153377,0.006493500461665078,0.30483766790706257,3.0799999237060547,9844100.0,235435832.0,4.16,0.10569999,True
FCEL,2025-10-31,TECHNICAL,0,0.15782664941785238,1.57353,81.67648000000001,0.1503855485738616,-0.02234634788015244,0.015642496794002612,8.949999809265137,15883500.0,32244449.0,0.62,0.051999997,False
FEMY,2025-11-10,CONTRACT,9,-0.03846153846153849,0.76547,51.012361834651,0.14285706800044828,-0.048076878990645736,0.06730774521122511,1.0399999618530273,13579500.0,108901572.0,,0.0,False
FLWS,2025-10-22,OTHER,2,0.5747572815533979,0.56785,16.902626871270453,-0.35535977924049855,-0.00227784791544493,0.12756263321434852,4.389999866485596,35774500.0,13109654.0,3.39,0.4693,False
FOXX,2025-11-21,TECHNICAL,0,0.8653636813458684,1.54189,81.17023999999999,0.6465115371299771,-0.03954798530910498,0.949152590316865,3.5399999618530273,50228300.0,1084353.0,0.21,0.0016,True
FRGT,2025-10-27,OTHER,3,0.6581196581196582,1.15417,23.593499572649574,0.01652890933552547,0.46341457268607017,0.6666666020545866,1.2300000190734863,33359000.0,1226903.0,0.02,0.024,True
FRGT,2025-11-19,AI_TECH,6,0.5376458112407209,2.0000051365817075,41.941862098464064,-0.08722112083934946,0.12222224135457785,0.15555554378179826,0.8999999761581421,278906900.0,1226903.0,0.02,0.024,False
FTEL,2025-11-06,TECHNICAL,0,0.7837837837837837,2.0,88.5,-0.5571847646756245,-0.09933773318245069,-0.08609271261766391,1.5099999904632568,64400900.0,349809.0,0.01,0.009,False
GERN,2025-11-05,EARNINGS,4,-0.06956521739130422,0.50964,24.858733180882655,-0.009090900224102623,-0.01834860579271824,0.07339442317087295,1.090000033378601,16738700.0,536307801.0,9.04,0.1271,False
GLMD,2025-11-17,FDA,10,0.2115384615384615,0.74777,51.36943734983974,-0.15662654755440467,0.05714291877487359,0.16190484191825694,1.0499999523162842,97322700.0,5229815.0,0.02,0.0002,False
GNLN,2025-10-20,OTHER,2,0.31250000000000006,0.73838,19.391456447106485,-0.2154194653368568,-0.01734102373353568,0.09537569944154928,3.4600000381469727,11304200.0,108901572.0,,0.0,False
GNPX,2025-10-23,OTHER,2,-0.17609489051094904,0.50017,17.1792355679998,-0.19223988323124364,-0.08515281069481213,0.10262014734893112,9.15999984741211,5637600.0,2267417.0,0.08,0.0585,False
GNTA,2025-10-24,CONTRACT,9,1.8916408668730649,0.9621,48.331733081739486,-0.3781344389960765,-0.3548386898298783,-0.3451612794064331,6.199999809265137,21920600.0,13372468.0,0.07,0.0069,False
GPRE,2025-10-22,M&A,7,-0.05009541984732828,0.57512,38.27912794043416,-0.019230823062431592,0.017543868282316348,0.1733746520048174,9.6899995803833,12059400.0,67589845.0,4.79,0.1884,False
GPRO,2025-10-22,OTHER,2,0.09095454545454543,0.59207,18.276930919318186,0.0131578823536055,-0.03896100276999047,0.08658010936704304,2.309999942779541,43016000.0,118214896.0,2.58,0.1418,False
GPRO,2025-10-23,OTHER,1,-0.030303030303030234,0.56694,14.733911857207493,-0.013513500451867638,0.02283102785839374,0.05936067243182372,2.190000057220459,11835000.0,118214896.0,2.58,0.1418,False
GRAB,2025-11-04,EARNINGS,6,-0.08072487644151569,0.54038,31.802806095551894,0.03953275614188103,0.005185861814978276,0.012964613324207074,5.784999847412109,112273800.0,2681358090.0,3.49,0.054899998,False
GREE,2025-11-10,TECHNICAL,0,0.3574834437086092,1.97547,93.10752,0.08808288171232476,-0.08571426462964851,-0.07619040698961563,2.0999999046325684,31462500.0,11160885.0,0.45,0.1015,False
GSIT,2025-10-20,OTHER,3,0.6220472440944882,0.55133,22.775198847826445,0.7293333689371745,0.20894371490770866,0.32151110537909805,12.970000267028809,115841100.0,29840207.0,0.27,0.10520001,True
GT,2025-11-04,EARNINGS,7,0.0638606676342526,0.80757,39.15979022412615,0.01088434350259409,-0.006729436750052417,0.09825034131080419,7.429999828338623,22892700.0,108901572.0,,0.0,False
GT,2025-11-05,OTHER,2,0.07133243606998657,0.5157,16.45714793825878,0.0894308722462816,-0.0062189292253851496,-0.0062189292253851496,8.039999961853027,18343700.0,108901572.0,,0.0,False
HIVE,2025-10-20,TECHNICAL,0,-0.03676007005253944,1.85467,86.17472,-0.0880913461291636,-0.017889155409670496,0.02146688412942674,5.590000152587891,22933900.0,237265099.0,0.33,0.0,False
HIVE,2025-10-21,CONTRACT,9,-0.04382826475849734,0.52367,44.431286650855526,0.001821535391393862,-0.06363634629683061,0.101818171414462,5.5,32459400.0,237265099.0,0.33,0.0,False
HIVE,2025-10-22,TECHNICAL,0,-0.09816363636363641,1.5197,80.8152,-0.04077670568120446,0.006072820369170413,0.27530366756303687,4.940000057220459,34044700.0,237265099.0,0.33,0.0,True
HIVE,2025-10-24,TECHNICAL,0,0.12498046874999998,1.53558,81.06927999999999,0.10845590926139591,0.038142622068133625,0.04477611468194211,6.03000020980835,31118700.0,237265099.0,0.33,0.0,False
HIVE,2025-10-27,OTHER,3,0.030431177446102745,0.67243,21.664907998080775,-0.05750800644598501,-0.006779654441774426,0.008474527642290024,5.900000095367432,24501100.0,237265099.0,0.33,0.0,False
HIVE,2025-10-28,TECHNICAL,0,-0.0440677966101696,1.50855,80.6368,-0.04948804697024919,0.017953303689529538,0.048473962765782135,5.570000171661377,17331500.0,237265099.0,0.33,0.0,False
